"Used_laptop","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39"
"Total","Kindergarten","Rural","Upper West","Male",39,20,21,11,7
"Total","Kindergarten","Rural","Upper West","Female",18,21,11,14,12
"Total","Kindergarten","Urban","Western","Both sexes",21,27,31,20,20
"Total","Kindergarten","Urban","Western","Male",12,11,18,8,5
"Total","Kindergarten","Urban","Western","Female",9,16,13,12,15
"Total","Kindergarten","Urban","Wassa Amenfi Central","Both sexes",0,0,0,0,0
"Total","Kindergarten","Urban","Wassa Amenfi Central","Male",0,0,0,0,0
"Total","Kindergarten","Urban","Wassa Amenfi Central","Female",0,0,0,0,0
"Total","Kindergarten","Urban","Central","Both sexes",62,53,64,61,87
"Total","Kindergarten","Urban","Central","Male",31,24,30,29,26
"Total","Kindergarten","Urban","Central","Female",31,29,34,32,61
"Total","Kindergarten","Urban","Gomoa Central","Both sexes",0,0,1,0,0
"Total","Kindergarten","Urban","Gomoa Central","Male",0,0,1,0,0
"Total","Kindergarten","Urban","Gomoa Central","Female",0,0,0,0,0
"Total","Kindergarten","Urban","Greater Accra","Both sexes",56,87,106,126,124
"Total","Kindergarten","Urban","Greater Accra","Male",24,36,39,47,45
"Total","Kindergarten","Urban","Greater Accra","Female",32,51,67,79,79
"Total","Kindergarten","Urban","Ga Central Municipal","Both sexes",3,5,4,7,10
"Total","Kindergarten","Urban","Ga Central Municipal","Male",3,3,0,0,2
"Total","Kindergarten","Urban","Ga Central Municipal","Female",0,2,4,7,8
"Total","Kindergarten","Urban","Ablekuma Central Municipal","Both sexes",4,5,3,4,4
"Total","Kindergarten","Urban","Ablekuma Central Municipal","Male",1,2,2,0,1
"Total","Kindergarten","Urban","Ablekuma Central Municipal","Female",3,3,1,4,3
"Total","Kindergarten","Urban","Ayawaso Central Municipal","Both sexes",1,2,1,2,1
"Total","Kindergarten","Urban","Ayawaso Central Municipal","Male",0,1,0,1,1
"Total","Kindergarten","Urban","Ayawaso Central Municipal","Female",1,1,1,1,0
"Total","Kindergarten","Urban","TMA-Tema Central","Both sexes",1,1,1,0,0
"Total","Kindergarten","Urban","TMA-Tema Central","Male",1,1,0,0,0
"Total","Kindergarten","Urban","TMA-Tema Central","Female",0,0,1,0,0
"Total","Kindergarten","Urban","Volta","Both sexes",16,24,37,23,26
"Total","Kindergarten","Urban","Volta","Male",10,15,13,6,6
"Total","Kindergarten","Urban","Volta","Female",6,9,24,17,20
"Total","Kindergarten","Urban","Central Tongu","Both sexes",1,0,0,2,0
"Total","Kindergarten","Urban","Central Tongu","Male",0,0,0,0,0
"Total","Kindergarten","Urban","Central Tongu","Female",1,0,0,2,0
"Total","Kindergarten","Urban","Eastern","Both sexes",24,38,45,52,60
"Total","Kindergarten","Urban","Eastern","Male",11,8,18,21,26
"Total","Kindergarten","Urban","Eastern","Female",13,30,27,31,34
"Total","Kindergarten","Urban","Birim Central Municipal","Both sexes",0,0,2,1,1
"Total","Kindergarten","Urban","Birim Central Municipal","Male",0,0,1,0,0
"Total","Kindergarten","Urban","Birim Central Municipal","Female",0,0,1,1,1
"Total","Kindergarten","Urban","Upper West Akim","Both sexes",0,0,2,1,0
"Total","Kindergarten","Urban","Upper West Akim","Male",0,0,0,0,0
"Total","Kindergarten","Urban","Upper West Akim","Female",0,0,2,1,0
"Total","Kindergarten","Urban","Ashanti","Both sexes",45,93,101,130,120
"Total","Kindergarten","Urban","Ashanti","Male",12,43,37,45,26
"Total","Kindergarten","Urban","Ashanti","Female",33,50,64,85,94
"Total","Kindergarten","Urban","Amansie Central","Both sexes",0,1,0,1,0
"Total","Kindergarten","Urban","Amansie Central","Male",0,1,0,0,0
"Total","Kindergarten","Urban","Amansie Central","Female",0,0,0,1,0
"Total","Kindergarten","Urban","Asante Akim Central Municipal","Both sexes",1,0,1,2,3
"Total","Kindergarten","Urban","Asante Akim Central Municipal","Male",0,0,0,1,0
"Total","Kindergarten","Urban","Asante Akim Central Municipal","Female",1,0,1,1,3
"Total","Kindergarten","Urban","Ahafo Ano South West","Both sexes",1,0,1,4,0
"Total","Kindergarten","Urban","Ahafo Ano South West","Male",0,0,0,2,0
"Total","Kindergarten","Urban","Ahafo Ano South West","Female",1,0,1,2,0
"Total","Kindergarten","Urban","Ahafo Ano North Municipal","Both sexes",0,0,0,0,0
"Total","Kindergarten","Urban","Ahafo Ano North Municipal","Male",0,0,0,0,0
"Total","Kindergarten","Urban","Ahafo Ano North Municipal","Female",0,0,0,0,0
"Total","Kindergarten","Urban","Ahafo Ano South East","Both sexes",3,5,6,1,0
"Total","Kindergarten","Urban","Ahafo Ano South East","Male",2,2,4,0,0
"Total","Kindergarten","Urban","Ahafo Ano South East","Female",1,3,2,1,0
"Total","Kindergarten","Urban","Sekyere Central","Both sexes",2,0,0,0,0
"Total","Kindergarten","Urban","Sekyere Central","Male",0,0,0,0,0
"Total","Kindergarten","Urban","Sekyere Central","Female",2,0,0,0,0
"Total","Kindergarten","Urban","Western North","Both sexes",8,12,7,10,14
"Total","Kindergarten","Urban","Western North","Male",2,5,2,4,4
"Total","Kindergarten","Urban","Western North","Female",6,7,5,6,10
"Total","Kindergarten","Urban","Ahafo","Both sexes",7,5,10,6,5
"Total","Kindergarten","Urban","Ahafo","Male",1,4,2,4,3
"Total","Kindergarten","Urban","Ahafo","Female",6,1,8,2,2
"Total","Kindergarten","Urban","Bono","Both sexes",11,25,7,20,15
"Total","Kindergarten","Urban","Bono","Male",7,7,2,6,4
"Total","Kindergarten","Urban","Bono","Female",4,18,5,14,11
"Total","Kindergarten","Urban","Dormaa Central Municipal","Both sexes",2,1,1,1,1
"Total","Kindergarten","Urban","Dormaa Central Municipal","Male",2,0,0,0,0
"Total","Kindergarten","Urban","Dormaa Central Municipal","Female",0,1,1,1,1
"Total","Kindergarten","Urban","Bono East","Both sexes",37,42,31,35,38
"Total","Kindergarten","Urban","Bono East","Male",24,15,11,10,19
"Total","Kindergarten","Urban","Bono East","Female",13,27,20,25,19
"Total","Kindergarten","Urban","Oti","Both sexes",21,3,5,11,5
"Total","Kindergarten","Urban","Oti","Male",11,1,1,3,4
"Total","Kindergarten","Urban","Oti","Female",10,2,4,8,1
"Total","Kindergarten","Urban","Northern","Both sexes",29,29,22,23,11
"Total","Kindergarten","Urban","Northern","Male",11,16,10,12,6
"Total","Kindergarten","Urban","Northern","Female",18,13,12,11,5
"Total","Kindergarten","Urban","TMA-Tamale Central","Both sexes",2,2,1,5,1
"Total","Kindergarten","Urban","TMA-Tamale Central","Male",0,0,1,2,0
"Total","Kindergarten","Urban","TMA-Tamale Central","Female",2,2,0,3,1
"Total","Kindergarten","Urban","Savannah","Both sexes",6,18,4,9,4
"Total","Kindergarten","Urban","Savannah","Male",3,5,2,6,1
"Total","Kindergarten","Urban","Savannah","Female",3,13,2,3,3
"Total","Kindergarten","Urban","Central Gonja","Both sexes",2,0,0,2,0
"Total","Kindergarten","Urban","Central Gonja","Male",1,0,0,1,0
"Total","Kindergarten","Urban","Central Gonja","Female",1,0,0,1,0
"Total","Kindergarten","Urban","Upper East","Both sexes",6,3,8,10,5
"Total","Kindergarten","Urban","Upper East","Male",3,1,4,5,3
"Total","Kindergarten","Urban","Upper East","Female",3,2,4,5,2
"Total","Kindergarten","Urban","Upper West","Both sexes",0,4,3,7,4
"Total","Kindergarten","Urban","Upper West","Male",0,1,3,1,2
"Total","Kindergarten","Urban","Upper West","Female",0,3,0,6,2
"Total","Primary","All Locality Types","Western","Both sexes",10270,14687,14722,14134,14039
"Total","Primary","All Locality Types","Western","Male",5425,6992,6571,6074,5924
"Total","Primary","All Locality Types","Western","Female",4845,7695,8151,8060,8115
"Total","Primary","All Locality Types","Wassa Amenfi Central","Both sexes",821,1159,1087,957,878
"Total","Primary","All Locality Types","Wassa Amenfi Central","Male",450,569,519,440,414
"Total","Primary","All Locality Types","Wassa Amenfi Central","Female",371,590,568,517,464
"Total","Primary","All Locality Types","Central","Both sexes",12238,16989,17584,18246,20574
"Total","Primary","All Locality Types","Central","Male",6069,7587,6891,6767,7437
"Total","Primary","All Locality Types","Central","Female",6169,9402,10693,11479,13137
"Total","Primary","All Locality Types","Gomoa Central","Both sexes",266,423,459,429,525
"Total","Primary","All Locality Types","Gomoa Central","Male",124,168,136,136,160
"Total","Primary","All Locality Types","Gomoa Central","Female",142,255,323,293,365
"Total","Primary","All Locality Types","Greater Accra","Both sexes",14543,22214,26209,29647,30921
"Total","Primary","All Locality Types","Greater Accra","Male",6412,9917,9931,10662,10673
"Total","Primary","All Locality Types","Greater Accra","Female",8131,12297,16278,18985,20248
"Total","Primary","All Locality Types","Ga Central Municipal","Both sexes",667,836,1101,1338,1499
"Total","Primary","All Locality Types","Ga Central Municipal","Male",288,358,383,387,465
"Total","Primary","All Locality Types","Ga Central Municipal","Female",379,478,718,951,1034
"Total","Primary","All Locality Types","Ablekuma Central Municipal","Both sexes",437,717,883,1054,1132
"Total","Primary","All Locality Types","Ablekuma Central Municipal","Male",186,347,364,419,411
"Total","Primary","All Locality Types","Ablekuma Central Municipal","Female",251,370,519,635,721
"Total","Primary","All Locality Types","Ayawaso Central Municipal","Both sexes",184,302,403,456,460
"Total","Primary","All Locality Types","Ayawaso Central Municipal","Male",60,123,151,156,135
"Total","Primary","All Locality Types","Ayawaso Central Municipal","Female",124,179,252,300,325
"Total","Primary","All Locality Types","TMA-Tema Central","Both sexes",100,156,161,182,196
"Total","Primary","All Locality Types","TMA-Tema Central","Male",43,56,64,65,86
"Total","Primary","All Locality Types","TMA-Tema Central","Female",57,100,97,117,110
"Total","Primary","All Locality Types","Volta","Both sexes",8764,13151,14192,15227,15464
"Total","Primary","All Locality Types","Volta","Male",4219,5596,5639,5870,6142
"Total","Primary","All Locality Types","Volta","Female",4545,7555,8553,9357,9322
"Total","Primary","All Locality Types","Central Tongu","Both sexes",544,849,809,809,826
"Total","Primary","All Locality Types","Central Tongu","Male",238,305,319,283,315
"Total","Primary","All Locality Types","Central Tongu","Female",306,544,490,526,511
"Total","Primary","All Locality Types","Eastern","Both sexes",14988,20269,20909,22144,25337
"Total","Primary","All Locality Types","Eastern","Male",7592,9312,8842,8667,9972
"Total","Primary","All Locality Types","Eastern","Female",7396,10957,12067,13477,15365
"Total","Primary","All Locality Types","Birim Central Municipal","Both sexes",199,290,321,397,465
"Total","Primary","All Locality Types","Birim Central Municipal","Male",90,122,124,122,144
"Total","Primary","All Locality Types","Birim Central Municipal","Female",109,168,197,275,321
"Total","Primary","All Locality Types","Upper West Akim","Both sexes",654,915,825,918,987
"Total","Primary","All Locality Types","Upper West Akim","Male",301,426,350,361,376
"Total","Primary","All Locality Types","Upper West Akim","Female",353,489,475,557,611
"Total","Primary","All Locality Types","Ashanti","Both sexes",23112,31125,31793,33180,35699
"Total","Primary","All Locality Types","Ashanti","Male",11226,14102,13005,12621,13449
"Total","Primary","All Locality Types","Ashanti","Female",11886,17023,18788,20559,22250
"Total","Primary","All Locality Types","Amansie Central","Both sexes",786,1133,1047,1011,1027
"Total","Primary","All Locality Types","Amansie Central","Male",400,570,507,441,462
"Total","Primary","All Locality Types","Amansie Central","Female",386,563,540,570,565
"Total","Primary","All Locality Types","Asante Akim Central Municipal","Both sexes",354,552,554,539,534
"Total","Primary","All Locality Types","Asante Akim Central Municipal","Male",158,244,218,217,206
"Total","Primary","All Locality Types","Asante Akim Central Municipal","Female",196,308,336,322,328
"Total","Primary","All Locality Types","Ahafo Ano South West","Both sexes",462,659,547,597,603
"Total","Primary","All Locality Types","Ahafo Ano South West","Male",227,295,257,252,248
"Total","Primary","All Locality Types","Ahafo Ano South West","Female",235,364,290,345,355
"Total","Primary","All Locality Types","Ahafo Ano North Municipal","Both sexes",530,733,638,709,788
"Total","Primary","All Locality Types","Ahafo Ano North Municipal","Male",278,316,234,301,360
"Total","Primary","All Locality Types","Ahafo Ano North Municipal","Female",252,417,404,408,428
"Total","Primary","All Locality Types","Ahafo Ano South East","Both sexes",472,532,541,551,500
"Total","Primary","All Locality Types","Ahafo Ano South East","Male",246,240,233,228,192
"Total","Primary","All Locality Types","Ahafo Ano South East","Female",226,292,308,323,308
"Total","Primary","All Locality Types","Sekyere Central","Both sexes",569,662,518,406,443
"Total","Primary","All Locality Types","Sekyere Central","Male",309,324,232,182,203
"Total","Primary","All Locality Types","Sekyere Central","Female",260,338,286,224,240
"Total","Primary","All Locality Types","Western North","Both sexes",5217,6257,6173,6352,6091
"Total","Primary","All Locality Types","Western North","Male",2547,2728,2596,2715,2783
"Total","Primary","All Locality Types","Western North","Female",2670,3529,3577,3637,3308
"Total","Primary","All Locality Types","Ahafo","Both sexes",3132,4007,3713,3866,4050
"Total","Primary","All Locality Types","Ahafo","Male",1624,1820,1597,1655,1750
"Total","Primary","All Locality Types","Ahafo","Female",1508,2187,2116,2211,2300
"Total","Primary","All Locality Types","Bono","Both sexes",6411,7966,6955,7191,7208
"Total","Primary","All Locality Types","Bono","Male",3223,3634,2926,2849,2973
"Total","Primary","All Locality Types","Bono","Female",3188,4332,4029,4342,4235
"Total","Primary","All Locality Types","Dormaa Central Municipal","Both sexes",585,736,684,731,679
"Total","Primary","All Locality Types","Dormaa Central Municipal","Male",275,335,273,279,282
"Total","Primary","All Locality Types","Dormaa Central Municipal","Female",310,401,411,452,397
"Total","Primary","All Locality Types","Bono East","Both sexes",11482,12947,10241,8888,7724
"Total","Primary","All Locality Types","Bono East","Male",5837,6028,4531,3951,3600
"Total","Primary","All Locality Types","Bono East","Female",5645,6919,5710,4937,4124
"Total","Primary","All Locality Types","Oti","Both sexes",6255,7102,5767,5388,4892
"Total","Primary","All Locality Types","Oti","Male",2933,3163,2608,2494,2278
"Total","Primary","All Locality Types","Oti","Female",3322,3939,3159,2894,2614
"Total","Primary","All Locality Types","Northern","Both sexes",11310,11609,8601,6769,4661
"Total","Primary","All Locality Types","Northern","Male",6099,5770,4341,3512,2633
"Total","Primary","All Locality Types","Northern","Female",5211,5839,4260,3257,2028
"Total","Primary","All Locality Types","TMA-Tamale Central","Both sexes",407,637,630,695,544
"Total","Primary","All Locality Types","TMA-Tamale Central","Male",209,322,297,279,228
"Total","Primary","All Locality Types","TMA-Tamale Central","Female",198,315,333,416,316
"Total","Primary","All Locality Types","Savannah","Both sexes",4221,4379,2852,2028,1407
"Total","Primary","All Locality Types","Savannah","Male",2041,2001,1364,1016,723
"Total","Primary","All Locality Types","Savannah","Female",2180,2378,1488,1012,684
"Total","Primary","All Locality Types","Central Gonja","Both sexes",607,738,484,358,226
"Total","Primary","All Locality Types","Central Gonja","Male",298,337,250,187,112
"Total","Primary","All Locality Types","Central Gonja","Female",309,401,234,171,114
"Total","Primary","All Locality Types","Upper East","Both sexes",11912,12189,10765,9160,7125
"Total","Primary","All Locality Types","Upper East","Male",6984,6662,5737,4729,3832
"Total","Primary","All Locality Types","Upper East","Female",4928,5527,5028,4431,3293
"Total","Primary","All Locality Types","Upper West","Both sexes",7978,8373,6309,4559,3467
"Total","Primary","All Locality Types","Upper West","Male",4297,4214,3087,2328,1781
"Total","Primary","All Locality Types","Upper West","Female",3681,4159,3222,2231,1686
"Total","Primary","Rural","Western","Both sexes",7034,9810,9346,8800,8558
"Total","Primary","Rural","Western","Male",3789,4664,4334,3921,3911
"Total","Primary","Rural","Western","Female",3245,5146,5012,4879,4647
"Total","Primary","Rural","Wassa Amenfi Central","Both sexes",687,979,936,831,802
"Total","Primary","Rural","Wassa Amenfi Central","Male",384,486,455,378,380
"Total","Primary","Rural","Wassa Amenfi Central","Female",303,493,481,453,422
"Total","Primary","Rural","Central","Both sexes",6185,8378,8500,8855,10143
"Total","Primary","Rural","Central","Male",3099,3809,3389,3396,3871
"Total","Primary","Rural","Central","Female",3086,4569,5111,5459,6272
"Total","Primary","Rural","Gomoa Central","Both sexes",197,314,360,322,392
"Total","Primary","Rural","Gomoa Central","Male",94,127,110,100,122
"Total","Primary","Rural","Gomoa Central","Female",103,187,250,222,270
"Total","Primary","Rural","Greater Accra","Both sexes",2588,4112,4236,4099,3925
"Total","Primary","Rural","Greater Accra","Male",1264,1931,1748,1706,1580
"Total","Primary","Rural","Greater Accra","Female",1324,2181,2488,2393,2345
"Total","Primary","Rural","Ga Central Municipal","Both sexes",0,0,0,0,0
"Total","Primary","Rural","Ga Central Municipal","Male",0,0,0,0,0
"Total","Primary","Rural","Ga Central Municipal","Female",0,0,0,0,0
"Total","Primary","Rural","Ablekuma Central Municipal","Both sexes",0,0,0,0,0
"Total","Primary","Rural","Ablekuma Central Municipal","Male",0,0,0,0,0
"Total","Primary","Rural","Ablekuma Central Municipal","Female",0,0,0,0,0
"Total","Primary","Rural","Ayawaso Central Municipal","Both sexes",0,0,0,0,0
"Total","Primary","Rural","Ayawaso Central Municipal","Male",0,0,0,0,0
"Total","Primary","Rural","Ayawaso Central Municipal","Female",0,0,0,0,0
"Total","Primary","Rural","TMA-Tema Central","Both sexes",0,0,0,0,0
"Total","Primary","Rural","TMA-Tema Central","Male",0,0,0,0,0
"Total","Primary","Rural","TMA-Tema Central","Female",0,0,0,0,0
"Total","Primary","Rural","Volta","Both sexes",5997,8815,9263,9717,10002
"Total","Primary","Rural","Volta","Male",2962,3795,3826,3944,4059
"Total","Primary","Rural","Volta","Female",3035,5020,5437,5773,5943
"Total","Primary","Rural","Central Tongu","Both sexes",521,805,753,749,754
"Total","Primary","Rural","Central Tongu","Male",234,293,299,264,292
"Total","Primary","Rural","Central Tongu","Female",287,512,454,485,462
"Total","Primary","Rural","Eastern","Both sexes",9805,13043,13210,13617,15619
"Total","Primary","Rural","Eastern","Male",5100,6143,5907,5666,6599
"Total","Primary","Rural","Eastern","Female",4705,6900,7303,7951,9020
"Total","Primary","Rural","Birim Central Municipal","Both sexes",8,13,26,20,24
"Total","Primary","Rural","Birim Central Municipal","Male",3,2,11,8,11
"Total","Primary","Rural","Birim Central Municipal","Female",5,11,15,12,13
"Total","Primary","Rural","Upper West Akim","Both sexes",522,741,644,705,777
"Total","Primary","Rural","Upper West Akim","Male",250,345,290,288,316
"Total","Primary","Rural","Upper West Akim","Female",272,396,354,417,461
"Total","Primary","Rural","Ashanti","Both sexes",13430,17162,16581,16476,17366
"Total","Primary","Rural","Ashanti","Male",6724,7934,7094,6624,7322
"Total","Primary","Rural","Ashanti","Female",6706,9228,9487,9852,10044
"Total","Primary","Rural","Amansie Central","Both sexes",703,1032,971,939,935
"Total","Primary","Rural","Amansie Central","Male",355,519,488,410,423
"Total","Primary","Rural","Amansie Central","Female",348,513,483,529,512
"Total","Primary","Rural","Asante Akim Central Municipal","Both sexes",185,261,253,260,218
"Total","Primary","Rural","Asante Akim Central Municipal","Male",81,118,107,112,97
"Total","Primary","Rural","Asante Akim Central Municipal","Female",104,143,146,148,121
"Total","Primary","Rural","Ahafo Ano South West","Both sexes",377,514,419,483,515
"Total","Primary","Rural","Ahafo Ano South West","Male",192,230,188,199,220
"Total","Primary","Rural","Ahafo Ano South West","Female",185,284,231,284,295
"Total","Primary","Rural","Ahafo Ano North Municipal","Both sexes",441,570,515,596,641
"Total","Primary","Rural","Ahafo Ano North Municipal","Male",236,261,192,265,306
"Total","Primary","Rural","Ahafo Ano North Municipal","Female",205,309,323,331,335
"Total","Primary","Rural","Ahafo Ano South East","Both sexes",374,405,403,441,394
"Total","Primary","Rural","Ahafo Ano South East","Male",197,189,161,183,154
"Total","Primary","Rural","Ahafo Ano South East","Female",177,216,242,258,240
"Total","Primary","Rural","Sekyere Central","Both sexes",479,536,429,317,334
"Total","Primary","Rural","Sekyere Central","Male",275,269,202,153,169
"Total","Primary","Rural","Sekyere Central","Female",204,267,227,164,165
"Total","Primary","Rural","Western North","Both sexes",4139,4901,4744,4826,4601
"Total","Primary","Rural","Western North","Male",2067,2152,2040,2139,2186
"Total","Primary","Rural","Western North","Female",2072,2749,2704,2687,2415
"Total","Primary","Rural","Ahafo","Both sexes",2034,2506,2225,2307,2439
"Total","Primary","Rural","Ahafo","Male",1068,1150,1010,1029,1144
"Total","Primary","Rural","Ahafo","Female",966,1356,1215,1278,1295
"Total","Primary","Rural","Bono","Both sexes",3692,4355,3594,3624,3485
"Total","Primary","Rural","Bono","Male",1913,2058,1617,1591,1617
"Total","Primary","Rural","Bono","Female",1779,2297,1977,2033,1868
"Total","Primary","Rural","Dormaa Central Municipal","Both sexes",431,559,505,552,479
"Total","Primary","Rural","Dormaa Central Municipal","Male",214,252,208,237,211
"Total","Primary","Rural","Dormaa Central Municipal","Female",217,307,297,315,268
"Total","Primary","Rural","Bono East","Both sexes",6688,7147,5309,4584,3867
"Total","Primary","Rural","Bono East","Male",3569,3530,2539,2239,1978
"Total","Primary","Rural","Bono East","Female",3119,3617,2770,2345,1889
"Total","Primary","Rural","Oti","Both sexes",4425,5167,4199,3879,3534
"Total","Primary","Rural","Oti","Male",2172,2349,1954,1861,1689
"Total","Primary","Rural","Oti","Female",2253,2818,2245,2018,1845
"Total","Primary","Rural","Northern","Both sexes",6566,6025,4033,2814,1806
"Total","Primary","Rural","Northern","Male",3542,2974,2260,1625,1159
"Total","Primary","Rural","Northern","Female",3024,3051,1773,1189,647
"Total","Primary","Rural","TMA-Tamale Central","Both sexes",0,0,0,0,0
"Total","Primary","Rural","TMA-Tamale Central","Male",0,0,0,0,0
"Total","Primary","Rural","TMA-Tamale Central","Female",0,0,0,0,0
"Total","Primary","Rural","Savannah","Both sexes",3352,3338,2012,1372,950
"Total","Primary","Rural","Savannah","Male",1615,1578,998,738,516
"Total","Primary","Rural","Savannah","Female",1737,1760,1014,634,434
"Total","Primary","Rural","Central Gonja","Both sexes",422,484,309,230,148
"Total","Primary","Rural","Central Gonja","Male",199,229,168,126,75
"Total","Primary","Rural","Central Gonja","Female",223,255,141,104,73
"Total","Primary","Rural","Upper East","Both sexes",10391,10265,8711,6962,5088
"Total","Primary","Rural","Upper East","Male",6169,5713,4773,3768,2867
"Total","Primary","Rural","Upper East","Female",4222,4552,3938,3194,2221
"Total","Primary","Rural","Upper West","Both sexes",7061,7086,5175,3493,2457
"Total","Primary","Rural","Upper West","Male",3876,3663,2627,1908,1324
"Total","Primary","Rural","Upper West","Female",3185,3423,2548,1585,1133
"Total","Primary","Urban","Western","Both sexes",3236,4877,5376,5334,5481
"Total","Primary","Urban","Western","Male",1636,2328,2237,2153,2013
"Total","Primary","Urban","Western","Female",1600,2549,3139,3181,3468
"Total","Primary","Urban","Wassa Amenfi Central","Both sexes",134,180,151,126,76
"Total","Primary","Urban","Wassa Amenfi Central","Male",66,83,64,62,34
"Total","Primary","Urban","Wassa Amenfi Central","Female",68,97,87,64,42
"Total","Primary","Urban","Central","Both sexes",6053,8611,9084,9391,10431
"Total","Primary","Urban","Central","Male",2970,3778,3502,3371,3566
"Total","Primary","Urban","Central","Female",3083,4833,5582,6020,6865
"Total","Primary","Urban","Gomoa Central","Both sexes",69,109,99,107,133
"Total","Primary","Urban","Gomoa Central","Male",30,41,26,36,38
"Total","Primary","Urban","Gomoa Central","Female",39,68,73,71,95
"Total","Primary","Urban","Greater Accra","Both sexes",11955,18102,21973,25548,26996
"Total","Primary","Urban","Greater Accra","Male",5148,7986,8183,8956,9093
"Total","Primary","Urban","Greater Accra","Female",6807,10116,13790,16592,17903
"Total","Primary","Urban","Ga Central Municipal","Both sexes",667,836,1101,1338,1499
"Total","Primary","Urban","Ga Central Municipal","Male",288,358,383,387,465
"Total","Primary","Urban","Ga Central Municipal","Female",379,478,718,951,1034
"Total","Primary","Urban","Ablekuma Central Municipal","Both sexes",437,717,883,1054,1132
"Total","Primary","Urban","Ablekuma Central Municipal","Male",186,347,364,419,411
"Total","Primary","Urban","Ablekuma Central Municipal","Female",251,370,519,635,721
"Total","Primary","Urban","Ayawaso Central Municipal","Both sexes",184,302,403,456,460
"Total","Primary","Urban","Ayawaso Central Municipal","Male",60,123,151,156,135
"Total","Primary","Urban","Ayawaso Central Municipal","Female",124,179,252,300,325
"Total","Primary","Urban","TMA-Tema Central","Both sexes",100,156,161,182,196
"Total","Primary","Urban","TMA-Tema Central","Male",43,56,64,65,86
"Total","Primary","Urban","TMA-Tema Central","Female",57,100,97,117,110
"Total","Primary","Urban","Volta","Both sexes",2767,4336,4929,5510,5462
"Total","Primary","Urban","Volta","Male",1257,1801,1813,1926,2083
"Total","Primary","Urban","Volta","Female",1510,2535,3116,3584,3379
"Total","Primary","Urban","Central Tongu","Both sexes",23,44,56,60,72
"Total","Primary","Urban","Central Tongu","Male",4,12,20,19,23
"Total","Primary","Urban","Central Tongu","Female",19,32,36,41,49
"Total","Primary","Urban","Eastern","Both sexes",5183,7226,7699,8527,9718
"Total","Primary","Urban","Eastern","Male",2492,3169,2935,3001,3373
"Total","Primary","Urban","Eastern","Female",2691,4057,4764,5526,6345
"Total","Primary","Urban","Birim Central Municipal","Both sexes",191,277,295,377,441
"Total","Primary","Urban","Birim Central Municipal","Male",87,120,113,114,133
"Total","Primary","Urban","Birim Central Municipal","Female",104,157,182,263,308
"Total","Primary","Urban","Upper West Akim","Both sexes",132,174,181,213,210
"Total","Primary","Urban","Upper West Akim","Male",51,81,60,73,60
"Total","Primary","Urban","Upper West Akim","Female",81,93,121,140,150
"Total","Primary","Urban","Ashanti","Both sexes",9682,13963,15212,16704,18333
"Total","Primary","Urban","Ashanti","Male",4502,6168,5911,5997,6127
"Total","Primary","Urban","Ashanti","Female",5180,7795,9301,10707,12206
"Total","Primary","Urban","Amansie Central","Both sexes",83,101,76,72,92
"Total","Primary","Urban","Amansie Central","Male",45,51,19,31,39
"Total","Primary","Urban","Amansie Central","Female",38,50,57,41,53
"Total","Primary","Urban","Asante Akim Central Municipal","Both sexes",169,291,301,279,316
"Total","Primary","Urban","Asante Akim Central Municipal","Male",77,126,111,105,109
"Total","Primary","Urban","Asante Akim Central Municipal","Female",92,165,190,174,207
"Total","Primary","Urban","Ahafo Ano South West","Both sexes",85,145,128,114,88
"Total","Primary","Urban","Ahafo Ano South West","Male",35,65,69,53,28
"Total","Primary","Urban","Ahafo Ano South West","Female",50,80,59,61,60
"Total","Primary","Urban","Ahafo Ano North Municipal","Both sexes",89,163,123,113,147
"Total","Primary","Urban","Ahafo Ano North Municipal","Male",42,55,42,36,54
"Total","Primary","Urban","Ahafo Ano North Municipal","Female",47,108,81,77,93
"Total","Primary","Urban","Ahafo Ano South East","Both sexes",98,127,138,110,106
"Total","Primary","Urban","Ahafo Ano South East","Male",49,51,72,45,38
"Total","Primary","Urban","Ahafo Ano South East","Female",49,76,66,65,68
"Total","Primary","Urban","Sekyere Central","Both sexes",90,126,89,89,109
"Total","Primary","Urban","Sekyere Central","Male",34,55,30,29,34
"Total","Primary","Urban","Sekyere Central","Female",56,71,59,60,75
"Total","Primary","Urban","Western North","Both sexes",1078,1356,1429,1526,1490
"Total","Primary","Urban","Western North","Male",480,576,556,576,597
"Total","Primary","Urban","Western North","Female",598,780,873,950,893
"Total","Primary","Urban","Ahafo","Both sexes",1098,1501,1488,1559,1611
"Total","Primary","Urban","Ahafo","Male",556,670,587,626,606
"Total","Primary","Urban","Ahafo","Female",542,831,901,933,1005
"Total","Primary","Urban","Bono","Both sexes",2719,3611,3361,3567,3723
"Total","Primary","Urban","Bono","Male",1310,1576,1309,1258,1356
"Total","Primary","Urban","Bono","Female",1409,2035,2052,2309,2367
"Total","Primary","Urban","Dormaa Central Municipal","Both sexes",154,177,179,179,200
"Total","Primary","Urban","Dormaa Central Municipal","Male",61,83,65,42,71
"Total","Primary","Urban","Dormaa Central Municipal","Female",93,94,114,137,129
"Total","Primary","Urban","Bono East","Both sexes",4794,5800,4932,4304,3857
"Total","Primary","Urban","Bono East","Male",2268,2498,1992,1712,1622
"Total","Primary","Urban","Bono East","Female",2526,3302,2940,2592,2235
